"Path","Name","Category","Priority","Status"
"agents\60-devops\observability-engineer\AGENT.md","observability-engineer","60-devops","high","production"
"agents\60-devops\release-engineer\AGENT.md","release-engineer","60-devops","high","production"
"agents\60-devops\sre-engineer\AGENT.md","sre-engineer","60-devops","critical","production"
"agents\62-deployment\cicd-engineer\AGENT.md","cicd-engineer","62-deployment","critical","production"
"agents\62-deployment\deployment-engineer\AGENT.md","deployment-engineer","62-deployment","critical","production"
"agents\62-deployment\docker-engineer\AGENT.md","docker-engineer","62-deployment","critical","production"
"agents\62-deployment\kubernetes-engineer\AGENT.md","kubernetes-engineer","62-deployment","critical","production"
"agents\62-deployment\terraform-engineer\AGENT.md","terraform-engineer","62-deployment","critical","production"
"agents\65-release\compatibility-checker\AGENT.md","compatibility-checker","65-release","high","production"
"agents\65-release\migration-planner\AGENT.md","migration-planner","65-release","high","production"
"agents\65-release\release-engineer\AGENT.md","release-engineer","65-release","high","production"
"agents\65-release\release-manager\AGENT.md","release-manager","65-release","critical","production"
"agents\65-release\semantic-version-manager\AGENT.md","semantic-version-manager","65-release","medium","stable"
"agents\67-monitoring\error-monitoring-specialist\AGENT.md","error-monitoring-specialist","67-monitoring","high","production"
"agents\67-monitoring\logging-specialist\AGENT.md","logging-specialist","67-monitoring","medium","stable"
"agents\67-monitoring\observability-engineer\AGENT.md","observability-engineer","67-monitoring","high","production"
"agents\67-monitoring\telemetry-reviewer\AGENT.md","telemetry-reviewer","67-monitoring","medium","stable"
"agents\70-optimization\algorithm-optimizer\AGENT.md","algorithm-optimizer","70-optimization","medium","stable"
"agents\70-optimization\build-optimizer\AGENT.md","build-optimizer","70-optimization","high","production"
"agents\72-performance\bundle-optimizer\AGENT.md","bundle-optimizer","72-performance","high","production"
"agents\72-performance\caching-optimizer\AGENT.md","caching-optimizer","72-performance","high","production"
"agents\72-performance\cpu-optimizer\AGENT.md","cpu-optimizer","72-performance","high","production"
"agents\72-performance\database-optimizer\AGENT.md","database-optimizer","72-performance","high","production"
"agents\72-performance\memory-optimizer\AGENT.md","memory-optimizer","72-performance","high","production"
"agents\72-performance\network-optimizer\AGENT.md","network-optimizer","72-performance","high","production"
"agents\72-performance\performance-optimizer\AGENT.md","performance-optimizer","72-performance","critical","production"
"agents\72-performance\rendering-optimizer\AGENT.md","rendering-optimizer","72-performance","high","production"
"agents\75-documentation\api-documentation-writer\AGENT.md","api-documentation-writer","75-documentation","medium","stable"
"agents\75-documentation\architecture-documentation-writer\AGENT.md","architecture-documentation-writer","75-documentation","medium","stable"
"agents\75-documentation\changelog-generator\AGENT.md","changelog-generator","75-documentation","low","stable"
"agents\75-documentation\code-documenter\AGENT.md","code-documenter","75-documentation","medium","stable"
"agents\75-documentation\comment-generator\AGENT.md","comment-generator","75-documentation","low","stable"
"agents\75-documentation\readme-generator\AGENT.md","readme-generator","75-documentation","low","stable"
"agents\80-automation\auto-fix-agent\AGENT.md","auto-fix-agent","80-automation","high","production"
"agents\80-automation\auto-setup-agent\AGENT.md","auto-setup-agent","80-automation","high","production"
"agents\80-automation\context-manager\AGENT.md","context-manager","80-automation","high","production"
"agents\80-automation\file-organizer\AGENT.md","file-organizer","80-automation","low","stable"
"agents\80-automation\token-optimizer\AGENT.md","token-optimizer","80-automation","medium","stable"
"agents\80-automation\verification-agent\AGENT.md","verification-agent","80-automation","high","production"
"agents\80-automation\workflow-optimizer\AGENT.md","workflow-optimizer","80-automation","high","production"
"agents\85-repository\configuration-auditor\AGENT.md","configuration-auditor","85-repository","medium","stable"
"agents\85-repository\dependency-analyzer\AGENT.md","dependency-analyzer","85-repository","high","production"
"agents\85-repository\file-structure-optimizer\AGENT.md","file-structure-optimizer","85-repository","medium","stable"
"agents\85-repository\repository-analyzer\AGENT.md","repository-analyzer","85-repository","high","production"
"agents\85-repository\repository-health-checker\AGENT.md","repository-health-checker","85-repository","medium","stable"
"agents\85-repository\workspace-analyzer\AGENT.md","workspace-analyzer","85-repository","medium","stable"
"agents\90-utilities\domain-name-agent\AGENT.md","domain-name-agent","90-utilities","low","stable"
"agents\90-utilities\excel-agent\AGENT.md","excel-agent","90-utilities","low","stable"
"agents\90-utilities\invoice-organizer\AGENT.md","invoice-organizer","90-utilities","low","stable"
"agents\90-utilities\local-seo-manager\AGENT.md","local-seo-manager","90-utilities","low","stable"
"agents\90-utilities\pdf-agent\AGENT.md","pdf-agent","90-utilities","low","stable"
"agents\90-utilities\slide-deck-creator\AGENT.md","slide-deck-creator","90-utilities","low","stable"
"agents\90-utilities\video-download-agent\AGENT.md","video-download-agent","90-utilities","low","stable"
"agents\90-utilities\web-scraping-agent\AGENT.md","web-scraping-agent","90-utilities","medium","stable"
